"site","colony.id","depth.below","height.above","habitat","temp","species","fvfm.avg","range","se","water.column"
"Jet Ski","JH24",62,120,"exposed","29","Hyacinthus",0.720666666666667,0.0766666666666667,0.0161595058596985,182
"Jet Ski","JH25",161,52,"other","36","Hyacinthus",0.582166666666667,0.051,0.0116352752279278,213
"Jet Ski","JH25",161,52,"other","29","Hyacinthus",0.68325,0.0516666666666666,0.0110866745172685,213
"Jet Ski","JH26",105,71,"open","29","Hyacinthus",0.66825,0.069,0.0157329419678254,176
"Jet Ski","JH26",105,71,"open","36","Hyacinthus",0.270083333333333,0.344333333333333,0.0748091862798403,176
"Jet Ski","JH27",92,89,"open","29","Hyacinthus",0.690833333333333,0.0416666666666666,0.00863294722431324,181
"Jet Ski","JH27",92,89,"open","36","Hyacinthus",0.555333333333333,0.0883333333333333,0.0219894755971359,181
"Jet Ski","JH28",96,87,"open","36","Hyacinthus",0.350333333333333,0.053,0.0108925730728854,183
"Jet Ski","JH28",96,87,"open","29","Hyacinthus",0.665333333333333,0.0303333333333333,0.00805191488612076,183
"Jet Ski","JH29",66,123,"open","36","Hyacinthus",0.531083333333333,0.148666666666667,0.0306069391188048,189
"Jet Ski","JH29",66,123,"open","29","Hyacinthus",0.691416666666667,0.015,0.00317214438511238,189
"Jet Ski","JH30",69,133,"sheltered","36","Hyacinthus",0.483083333333333,0.0866666666666666,0.0204583474767998,202
"Jet Ski","JH30",69,133,"sheltered","29","Hyacinthus",0.692833333333333,0.054,0.011077588318897,202
"Jet Ski","JH31",75,87,"exposed","29","Hyacinthus",0.702333333333333,0.0316666666666667,0.00672612375300522,162
"Jet Ski","JH31",75,87,"exposed","36","Hyacinthus",0.3965,0.178,0.0394577833470998,162
"Jet Ski","JH31 ",NA,NA,"other","36","Hyacinthus",0.452,0,NA,NA
"Jet Ski","JH31 ",NA,NA,"other","29","Hyacinthus",0.687,0,NA,NA
"Jet Ski","JH32",59,55,"open","29","Hyacinthus",0.686916666666667,0.035,0.00720387627137872,114
"Jet Ski","JH32",59,55,"open","36","Hyacinthus",0.3115,0.167,0.0380887122386672,114
"Jet Ski","JH33",49,99,"open","29","Hyacinthus",0.686833333333333,0.0449999999999999,0.00969392707947724,148
"Jet Ski","JH33",49,99,"open","36","Hyacinthus",0.234916666666667,0.0593333333333333,0.0123882971956362,148
"Jet Ski","JH34",73,63,"sheltered","29","Hyacinthus",0.683166666666667,0.0326666666666666,0.00691549521538942,136
"Jet Ski","JH34",73,63,"sheltered","36","Hyacinthus",0.517083333333333,0.0233333333333333,0.00501179165125163,136
"Jet Ski","JH35",52,85,"open","29","Hyacinthus",0.66975,0.0163333333333333,0.00431057055603066,137
"Jet Ski","JH35",52,85,"open","36","Hyacinthus",0.438333333333333,0.109,0.0237241086941814,137
"Jet Ski","JH36",99,50,"open","29","Hyacinthus",0.691583333333333,0.0163333333333333,0.00390245649132269,149
"Jet Ski","JH36",99,50,"open","36","Hyacinthus",0.55225,0.0613333333333334,0.0137486531326877,149
"Jet Ski","JH37",101,69,"overhang","29","Hyacinthus",0.71475,0.028,0.00638194066618194,170
"Jet Ski","JH37",101,69,"overhang","36","Hyacinthus",0.64475,0.0603333333333333,0.0152560704372124,170
"Jet Ski","JH38",132,29,"sheltered","29","Hyacinthus",0.71625,0.036,0.00817559036264525,161
"Jet Ski","JH38",132,29,"sheltered","36","Hyacinthus",0.306666666666667,0.0716666666666667,0.0179200901122073,161
"Jet Ski","JH39",83,77,"sheltered","29","Hyacinthus",0.691666666666667,0.0136666666666666,0.00300308483371989,160
"Jet Ski","JH39",83,77,"sheltered","36","Hyacinthus",0.418166666666667,0.0493333333333333,0.0125111061772242,160
"Jet Ski","JH40",51,131,"overhang","29","Hyacinthus",0.669833333333333,0.0236666666666666,0.00492630881274392,182
"Jet Ski","JH40",51,131,"overhang","36","Hyacinthus",0.319666666666667,0.122666666666667,0.028169460742416,182
"Jet Ski","JH41",77,85,"overhang","29","Hyacinthus",0.68775,0.0339999999999999,0.00796912444654017,162
"Jet Ski","JH41",77,85,"overhang","36","Hyacinthus",0.396583333333333,0.089,0.0184553389846146,162
"Jet Ski","JH42",151,64,"crevice","29","Hyacinthus",0.666666666666667,0.0306666666666666,0.00768596604689833,215
"Jet Ski","JH42",151,64,"crevice","36","Hyacinthus",0.6375,0.0783333333333333,0.0176007680808832,215
"Jet Ski","JH43",83,118,"open","29","Hyacinthus",0.690833333333333,0.0256666666666666,0.00571952471477856,201
"Jet Ski","JH43",83,118,"open","36","Hyacinthus",0.268583333333333,0.116666666666667,0.0262168220663615,201
"Jet Ski","JH44",95,86,"open","29","Hyacinthus",0.681,0.0376666666666666,0.00861200712184253,181
"Jet Ski","JH44",95,86,"open","36","Hyacinthus",0.4285,0.0816666666666667,0.0223666832256935,181
"Jet Ski","JH45",115,62,"other","29","Hyacinthus",0.681,0.0946666666666666,0.0197136914257485,177
"Jet Ski","JH45",115,62,"other","36","Hyacinthus",0.447583333333333,0.121,0.0266376143826732,177
"Jet Ski","JH46",63,58,"sheltered","29","Hyacinthus",0.6975,0.0403333333333333,0.0083649400608864,121
"Jet Ski","JH46",63,58,"sheltered","36","Hyacinthus",0.280916666666667,0.250666666666667,0.0536230628589077,121
"Jet Ski","JH47",33,98,"open","29","Hyacinthus",0.680583333333333,0.0269999999999999,0.00612731437756227,131
"Jet Ski","JH47",33,98,"open","36","Hyacinthus",0.2335,0.105,0.025097033910626,131
"Jet Ski","JH48",154,45,"other","29","Hyacinthus",0.668916666666667,0.0173333333333333,0.0039892796156514,199
"Jet Ski","JH48",154,45,"other","36","Hyacinthus",0.607416666666667,0.0816666666666667,0.0178239201532556,199
"Jet Ski","JH49",116,34,"overhang","29","Hyacinthus",0.666666666666667,0.043,0.0119419894117819,150
"Jet Ski","JH49",116,34,"overhang","36","Hyacinthus",0.384416666666667,0.141666666666667,0.0310496540804969,150
