nth,trial,coll.date,site,baggie,colony.id,gps.device,gps.wp,lat,long,depth.below,height.above,camera,habitat,TH.imaging,img.start,img.stop,file.start,file.stop,all.images,filt.images,orientation,notes
031,04,2023-05-08,Jet Ski,9,JH21,64sx,035,17.47552,149.78699,66,118,1,exposed,yes,13159,13791,,,,,,
032,04,2023-05-08,Jet Ski,10,JH22,64sx,036,17.47561,149.78706,112,83,1,open,yes,13796,14417,,,,,,
033,05,2023-05-09,Jet Ski,1,JH23,64sx,037,17.47722,149.78740,71,70,BBep256,overhang,no,1,7,,,,,,
034,05,2023-05-09,Jet Ski,2,JH24,64sx,038,17.47599,149.78819,62,120,BBep256,exposed,yes,8,578,,,,,,
035,05,2023-05-09,Jet Ski,3,JH25,64sx,039,17.47528,149.78830,161,52,BBep256,open/overhang,no,580,587,,,,,,
036,05,2023-05-09,Jet Ski,4,JH26,64sx,040,17.47569,149.78893,105,71,BBep256,open,yes,588,1100,,,,,,
037,05,2023-05-09,Jet Ski,5,JH27,64sx,041,17.47606,149.78925,92,89,BBep256,open,yes,1101,1643,,,,,,
038,05,2023-05-09,Jet Ski,6,JH28,64sx,042,17.47605,149.78918,96,87,BBep256,open,yes,1646,2163,,,,,,
039,05,2023-05-09,Jet Ski,7,JH29,64sx,043,17.47670,149.78886,66,123,BBep256,open,yes,2164,2578,,,,,,
040,05,2023-05-09,Jet Ski,8,JH30,64sx,044,17.47682,149.78874,69,133,BBep256,sheltered,yes,2579,3117,,,,,,
041,05,2023-05-09,Jet Ski,9,JH31,64sx,045,17.47687,149.78815,75,87,BBep256,exposed,yes,3119,3631,,,,,,
042,06,2023-05-10,Hilton,1,HH07,64sx,046,17.48047,149.84196,49,159,BBep256,open,no,20,,,,,,,
043,06,2023-05-10,Hilton,2,HH08,64sx,047,17.48038,149.84200,118,71,BBep256,open,yes,21,536,,,,,,
044,06,2023-05-10,Hilton,3,HH09,64sx,048,17.48030,149.84214,103,67,BBep256,sheltered,no,548,,,,,,,
045,06,2023-05-10,Hilton,4,HH10,64sx,049,17.48005,149.84189,121,74,BBep256,overhang,no,559,,,,,,,
046,06,2023-05-10,Hilton,5,HH11,64sx,050,17.48009,149.84184,133,66,BBep256,open,no,570,581,,,,,,big colony
047,07,2023-05-11,Jet Ski,1,JH32,64sx,052,17.47758,149.78749,59,55,BBep256,open,no,22,30,,,,,,
048,07,2023-05-11,Jet Ski,2,JH33,64sx,053,17.47744,149.78802,49,99,BBep256,open,yes,31,584,,,,,,
049,07,2023-05-11,Jet Ski,3,JH34,64sx,054,17.47741,149.78841,73,63,BBep256,sheltered,yes,589,1182,,,,,,
050,07,2023-05-11,Jet Ski,4,JH35,64sx,055,17.47746,149.78845,52,85,BBep256,open,yes,1183,1690,,,,,,
051,07,2023-05-11,Jet Ski,5,JH36,64sx,056,17.47721,149.78844,99,50,BBep256,open,yes,1699,2200,,,,,,
052,07,2023-05-11,Jet Ski,6,JH37,64sx,057,17.47665,149.78926,101,69,BBep256,overhang,no,2233,2246,,,,,,
053,07,2023-05-11,Jet Ski,7,JH38,64sx,058,17.47605,149.78912,132,29,BBep256,sheltered,yes,2247,2705,,,,,,possibly cytherea
054,07,2023-05-11,Jet Ski,8,JH39,64sx,059,17.47600,149.78914,83,77,BBep256,sheltered,no,2706,2714,,,,,,"this colony was nestled inside a hollow bommie, ie extremely sheltered. in addition to height above bottom, we took the measurement of the height above the ""bottom"" inside the bommie"
055,08,2023-05-12,Jet Ski,1,JH40,64sx,060,17.47570,149.78801,51,131,BBep256,overhang,yes,20,599,,,,,,
056,08,2023-05-12,Jet Ski,2,JH41,64sx,061,17.47565,149.78804,77,85,BBep256,overhang,yes,610,1105,,,,,,
057,08,2023-05-12,Jet Ski,3,JH42,64sx,062,17.47565,149.78806,151,64,BBep256,crevice,no,1106,1119,,,,,,
058,08,2023-05-12,Jet Ski,4,JH43,64sx,063,17.47559,149.78813,83,118,BBep256,open,yes,1120,1610,,,,,,
059,08,2023-05-12,Jet Ski,5,JR03,64sx,064,17.47556,149.78789,170,10,BBep256,overhang,yes,1611,2019,,,,,,
060,08,2023-05-12,Jet Ski,6,JR04,64sx,065,17.47546,149.78793,138,35,BBep256,open,no,2020,,,,,,,
061,08,2023-05-12,Jet Ski,7,JH44,64sx,066,17.47547,149.78793,95,86,BBep256,open,yes,2028,2515,,,,,,
062,08,2023-05-12,Jet Ski,8,JH45,64sx,067,17.47544,149.78793,115,62,BBep256,open/crevice,no,2517,2526,,,,,,
063,09,2023-05-13,Hilton,1,HH12,64sx,069,17.48100,149.84578,77,86,2,exposed,yes,20,634,,,,,,
064,09,2023-05-13,Hilton,2,HH13,64sx,070,17.48130,149.84573,63,101,2,overhang,yes,644,1016,,,,,,difficult lighting
065,09,2023-05-13,Hilton,3,HH14,64sx,071,17.48150,149.84589,121,29,2,open,no,1017,,,,,,,super close to the bottom/rubble
